,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0033250,267.8091956,20.55089951,1.711448528,12.00789809,3.23E-33,2.98E-29
FBgn0015221,212202.1817,8.27115655,0.752259891,10.9950785,4.04E-28,1.86E-24
FBgn0032472,78.22507641,19.00514742,1.808117428,10.5110139,7.69E-26,2.37E-22
FBgn0002121,1859.931903,-12.39775703,1.267786967,-9.779053857,1.38E-22,3.20E-19
FBgn0002629,5.507684149,-33.73605647,3.783143817,-8.91746603,4.77E-19,8.82E-16
FBgn0037874,10883.02181,0.666829337,0.075053368,8.884735737,6.41E-19,9.87E-16
FBgn0040733,90.918799,21.00075284,2.411767007,8.70762092,3.10E-18,4.10E-15
FBgn0036422,689.842233,7.083283665,0.866781525,8.171936599,3.03E-16,3.50E-13
FBgn0015222,65506.75015,6.255673299,0.783770595,7.98151058,1.45E-15,1.48E-12
FBgn0035956,4.456458263,16.30166234,2.061591797,7.907318198,2.63E-15,2.21E-12
FBgn0266403,6.71213114,-32.7912498,4.140926374,-7.918819809,2.40E-15,2.21E-12
FBgn0063127,6.939150722,-31.87071477,4.123284569,-7.729448267,1.08E-14,8.32E-12
FBgn0011666,381.564014,-5.129906832,0.667392313,-7.686493729,1.51E-14,1.07E-11
FBgn0004865,2718.535719,-10.19062025,1.377221376,-7.399406104,1.37E-13,8.51E-11
FBgn0013679,2713.062372,-1.895503673,0.256216983,-7.398040727,1.38E-13,8.51E-11
FBgn0028400,108.6975868,-8.846317153,1.247959354,-7.088626026,1.35E-12,7.82E-10
FBgn0033340,348.2861777,-1.139017444,0.163147273,-6.981529168,2.92E-12,1.50E-09
FBgn0264562,1382.807716,-8.874032845,1.270217172,-6.986232781,2.82E-12,1.50E-09
FBgn0000008,982.2903794,-7.05406021,1.0134245,-6.960617404,3.39E-12,1.65E-09
FBgn0003721,8331.807566,-1.516866316,0.222947133,-6.803704082,1.02E-11,4.71E-09
FBgn0034511,141.4738405,-29.44508689,4.341914723,-6.781590326,1.19E-11,5.23E-09
FBgn0086681,73.83192609,-2.415412901,0.358476905,-6.73798748,1.61E-11,6.45E-09
