"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0033250",267.809195646715,20.5508995057881,1.71144852767015,12.0078980895585,3.22949202232267e-33,2.98372767942391e-29
"FBgn0015221",212202.181747509,8.27115655011499,0.752259890954371,10.9950784955737,4.03562234320565e-28,1.86425574144385e-24
"FBgn0032472",78.2250764145429,19.005147417638,1.80811742797918,10.5110138996221,7.68627089109544e-26,2.36711522542769e-22
"FBgn0002121",1859.93190332668,-12.3977570273473,1.26778696677701,-9.77905385702544,1.38499154972711e-22,3.19898423198219e-19
"FBgn0002629",5.50768414851036,-33.7360564706943,3.7831438166595,-8.91746602974324,4.7707853025474e-19,8.81545708204708e-16
"FBgn0037874",10883.0218131116,0.666829336738587,0.0750533675366072,8.88473573705193,6.40728880869075e-19,9.86615688391563e-16
"FBgn0040733",90.918798995991,21.0007528447686,2.41176700705308,8.70762091999481,3.10319102153187e-18,4.09576883541899e-15
"FBgn0036422",689.842232982278,7.08328366490808,0.866781524654032,8.17193659928932,3.03478015447882e-16,3.50479173090373e-13
"FBgn0015222",65506.7501461043,6.2556732990402,0.783770595373293,7.98151057971339,1.44553186509195e-15,1.48391876684273e-12
"FBgn0035956",4.45645826254786,16.3016623361485,2.06159179742411,7.90731819777167,2.6299279635269e-15,2.20890040500228e-12
"FBgn0266403",6.71213113994837,-32.7912497973957,4.14092637414155,-7.9188198085733,2.39775532736869e-15,2.20890040500228e-12
"FBgn0063127",6.93915072187,-31.8707147678053,4.12328456939048,-7.72944826665615,1.08013692816187e-14,8.31615423273958e-12
"FBgn0011666",381.564013999991,-5.12990683235303,0.667392313485571,-7.68649372894514,1.512220947477e-14,1.07472379490308e-11
"FBgn0004865",2718.53571885434,-10.190620254761,1.37722137581259,-7.39940610401025,1.36794908584226e-13,8.51272018980606e-11
"FBgn0013679",2713.06237216496,-1.89550367286732,0.256216982683683,-7.39804072709517,1.38208467201094e-13,8.51272018980606e-11
"FBgn0028400",108.697586787378,-8.84631715314867,1.24795935366128,-7.08862602551533,1.35450001292705e-12,7.82139101214565e-10
"FBgn0033340",348.28617773485,-1.13901744401875,0.163147272832454,-6.98152916836359,2.91984267189808e-12,1.49869035809258e-09
"FBgn0264562",1382.80771587581,-8.87403284488471,1.2702171718835,-6.98623278075048,2.82365435771886e-12,1.49869035809258e-09
"FBgn0000008",982.290379409416,-7.05406020986388,1.01342449958611,-6.96061740439946,3.38784689585298e-12,1.64738513004135e-09
"FBgn0003721",8331.80756553718,-1.51686631626885,0.222947132620806,-6.80370408193932,1.01962874465716e-11,4.71017498594377e-09
"FBgn0034511",141.473840492187,-29.4450868869565,4.34191472345815,-6.78159032646887,1.18860125740897e-11,5.2292795320007e-09
"FBgn0086681",73.8319260860167,-2.4154129009302,0.358476905459526,-6.73798748020857,1.60595402580184e-11,6.45104749755791e-09
"FBgn0286075",350.803035006896,1.44651864876357,0.214567292067221,6.74156174889132,1.56693115202855e-11,6.45104749755791e-09
"FBgn0037721",709.741675210952,-7.73267983039318,1.14983257261005,-6.72504851105449,1.75533951263246e-11,6.75732573217139e-09
"FBgn0033395",196.7317494625,-9.41389580269097,1.43854468029129,-6.54404130206423,5.98782485561493e-11,2.21286055364105e-08
"FBgn0035237",3434.35648993613,-4.42858874881763,0.67932755320522,-6.51907717848709,7.0741250691994e-11,2.51376313516666e-08
"FBgn0035286",87.1892238493799,-7.08354872492608,1.09197625899827,-6.48690726245658,8.76162297718626e-11,2.99809758097126e-08
"FBgn0037377",371.917047546757,-4.56939840373871,0.706014702557492,-6.47210091685962,9.66495324124258e-11,3.07912079296001e-08
"FBgn0262531",1080.77302589918,5.73019148894514,0.884729914312319,6.47676923346612,9.37073388713328e-11,3.07912079296001e-08
"FBgn0040653",172.033020036918,-18.2673212624374,2.87312914120183,-6.35798822979332,2.0441312953913e-10,6.29524301270674e-08
"FBgn0051363",1652.43064897237,-3.97031965230008,0.625916844667202,-6.34320626793657,2.25031809686398e-10,6.70667383771818e-08
"FBgn0034733",379.198403703232,2.86067037335015,0.452855517027368,6.31696041185088,2.66757880920652e-10,7.70180019320595e-08
"FBgn0035057",5.69051381628925,15.9730933410221,2.5439292982998,6.27890615973389,3.4096329752334e-10,9.54593910853981e-08
"FBgn0013684",1635.76859667636,-1.42185860576225,0.230424935554565,-6.17059348347111,6.80341358769176e-10,1.81152570593801e-07
"FBgn0031374",1436.79125559319,-2.68857166729897,0.435803845146983,-6.1692242903277,6.8625824989534e-10,1.81152570593801e-07
"FBgn0052762",2088.77576332334,-37.33640959495,6.12075464341659,-6.09996834869188,1.06089470361969e-09,2.72266837965065e-07
