"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0031081",15.8734732856118,-2.25214553165174,0.638956680174884,-3.52472335219239,0.000423925266590124,0.00291847911820442
"FBgn0052826",0,NA,NA,NA,NA,NA
"FBgn0031085",0.338752753218265,-2.26699288536996,5.72108832662274,-0.396252033869264,0.691919108642331,NA
"FBgn0062565",2.04128004947941,3.12621997431374,1.65672441703732,1.8869885312032,0.0591618682437355,0.156983534712211
"FBgn0031088",2.62069367532079,-0.849522066551232,1.97673466793139,-0.429760291218162,0.667370020864331,0.803272992624579
"FBgn0041626",0.229320675754943,0,5.77068407617317,0,1,NA
"FBgn0040784",0.15388509221218,0.909317053764559,5.77068407617317,0.157575261747403,0.874791498269172,NA
"FBgn0031086",0.396432038978846,0,5.2711314190179,0,1,NA
"FBgn0031082",0,NA,NA,NA,NA,NA
"FBgn0031080",7.98361818401979,0.136530636377995,1.71157865957555,0.0797688354047678,0.936421111058777,0.971915506353139
"FBgn0052821",0,NA,NA,NA,NA,NA
"FBgn0053217",443.764115929538,0.0760357334318922,0.183139213745731,0.415179970890667,0.678010160010041,0.811077812523078
"FBgn0052350",450.825113752993,0.0435371155734792,0.131998559448728,0.329830232657881,0.741528242144784,0.853192740508316
"FBgn0024733",17842.492018558,0.446453765099983,0.242713926316825,1.83942376885786,0.0658528807608778,0.170172556923064
"FBgn0040372",1876.89759343146,-0.195081312919662,0.233969990752104,-0.833787753260864,0.404400597693731,0.590114973985649
"FBgn0000316",882.060977028266,0.129921576293354,0.09847251560315,1.31936891728191,0.187045807921954,0.353867911677692
"FBgn0024989",2977.90754233559,-0.295747083984471,0.113803216998045,-2.59875855697076,0.00935615549021356,0.0387360646466945
"FBgn0040371",0.575639030473911,-1.81964041377415,3.38346959493011,-0.537803093162343,0.590712996301216,NA
"FBgn0029521",0.120073078105534,-1.01424430495983,5.77068407617317,-0.175758071585931,0.860484010807303,NA
"FBgn0004034",606.188531463735,9.70468455147882,2.02391760686091,4.79499981549681,1.62674980570627e-06,2.10815780135727e-05
"FBgn0000022",238.614278721327,-0.0756728664061095,0.227803362688638,-0.33218502796879,0.739749548437026,0.851509703363184
"FBgn0004170",278.840623452519,-0.928844407613164,0.282918833572615,-3.28307732604433,0.00102680496223818,0.00624097849831674
"FBgn0002561",1.96375012762639,-3.17846748102942,1.65251391051102,-1.92341344954035,0.0544281465726729,0.14758295980885
"FBgn0000137",9.40755024539814,-5.60549076780971,1.73868409358069,-3.22398461486217,0.00126420191463596,0.00745181019228554
"FBgn0029522",0,NA,NA,NA,NA,NA
"FBgn0052817",4.31852997320737,-0.00978700996308166,0.800637437060628,-0.0122240223977193,0.990246884154581,1
"FBgn0029524",27.5131618691383,-0.513033208811404,0.376854395817564,-1.36135657300324,0.173401032828303,0.336592822276185
"FBgn0023536",137.167913587917,-0.104168519229551,0.191260502531351,-0.544642086844232,0.585999702795862,0.747033557507649
"FBgn0023534",12.4670808628084,1.32391335848847,0.650355582285861,2.03567616631381,0.0417828838923451,0.121647656290406
"FBgn0023535",7.47175360254267,0.297814466556277,1.07991808050182,0.275775053620629,0.782720845305769,0.878595255655599
"FBgn0023537",1912.18284005059,1.0696758160655,0.185694270940789,5.76041366621691,8.39080398083602e-09,1.67211197259507e-07
"FBgn0029525",967.717977592999,0.254189936739734,0.0933068176393309,2.72423755488353,0.00644501305471578,0.0286767171865005
"FBgn0029523",54.882410372584,-0.419038037736714,0.268384267454476,-1.56133607126503,0.118444476958262,0.258439568121235
"FBgn0010019",2.74425311820345,-0.304434767786677,1.84901585020702,-0.164646921632712,0.869221897050595,0.93077883115837
"FBgn0011822",0.119249430494982,2.21219044128198,5.71972002661402,0.386765511421642,0.698929811874378,NA
"FBgn0052816",12.9054067836437,-2.16195518225186,0.648155365854282,-3.33555085114872,0.000851305827428259,0.00532362420272858
"FBgn0040370",1.47970747595759,-1.014258138766,2.45412793704516,-0.4132865786888,0.679396661910498,0.811767543124899
"FBgn0040373",849.837035997416,-0.120656078252632,0.086881862048358,-1.38873725088299,0.164912662387045,0.325329078352192
"FBgn0000108",72.6366671394067,0.801201294954743,0.626829362031317,1.27818086306352,0.201185662108803,0.372165858475465
"FBgn0025640",277.536292666259,0.207653340937789,0.211352012265073,0.982499947421155,0.325853608850305,0.517306399207059
"FBgn0025635",367.788705994933,-0.315935174513943,0.105892685499293,-2.98354105408021,0.00284933807628108,0.0147473421989373
