Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0000008,982.2903794,-6.665009358,0.900614573,-7.400512444,1.36E-13,3.88E-11,982.2903794,-6.097746274,1.006306766,-6.059530234,1.37E-09,2.80E-07
FBgn0000071,271.34305,-3.96429736,0.911096922,-4.35112584,1.35E-05,0.000197425,271.34305,-3.853982786,1.020104934,-3.778025825,0.000158076,0.002839656
FBgn0000097,793.7934129,-3.833485942,0.964971437,-3.972641879,7.11E-05,0.000748163,793.7934129,-4.976592563,1.081577838,-4.601233851,4.20E-06,0.000177622
FBgn0000153,73.97521847,-7.187828163,1.08896812,-6.600586401,4.10E-11,5.60E-09,73.97521847,-6.845583896,1.221306127,-5.605133509,2.08E-08,2.73E-06
FBgn0000183,860.6209291,-2.377182782,0.368916553,-6.443686952,1.17E-10,1.26E-08,860.6209291,-1.851605744,0.412154879,-4.492499878,7.04E-06,0.000268772
FBgn0000221,168.1260715,-2.551685659,0.672126305,-3.796437722,0.00014679,0.001344057,168.1260715,-3.001567722,0.753888488,-3.981447878,6.85E-05,0.001556609
FBgn0000339,524.1819202,-3.215710327,0.542169077,-5.931194651,3.01E-09,1.93E-07,524.1819202,-2.841958101,0.60607056,-4.689153855,2.74E-06,0.000128286
FBgn0000567,6397.798599,-2.685795802,0.705258066,-3.808245422,0.000139956,0.00129237,6397.798599,-2.69615784,0.788526175,-3.419236959,0.00062797,0.007622119
FBgn0000568,4444.22594,-2.89776222,0.666582034,-4.347195199,1.38E-05,0.000200375,4444.22594,-3.458158146,0.745426516,-4.63916707,3.50E-06,0.000154841
FBgn0001145,278.7236035,-1.81043166,0.70381184,-2.572323393,0.010101848,0.038158515,278.7236035,-3.036996995,0.791263183,-3.838162904,0.000123958,0.002385817
FBgn0001168,1623.051985,-1.689717903,0.417539624,-4.046844436,5.19E-05,0.000573961,1623.051985,-1.606933451,0.466847424,-3.44209557,0.000577226,0.00723492
FBgn0001224,13062.06674,-2.58744013,0.638901741,-4.049824824,5.13E-05,0.000567365,13062.06674,-2.092443413,0.714304266,-2.929344694,0.003396775,0.025669059
FBgn0001234,2743.043483,-1.588859927,0.545307969,-2.913692846,0.003571811,0.017056078,2743.043483,-1.807987916,0.609741858,-2.965169425,0.003025163,0.023773978
FBgn0001258,933.5338827,-5.976272297,0.962241653,-6.210781127,5.27E-10,4.36E-08,933.5338827,-5.115177946,1.072875971,-4.767725334,1.86E-06,9.82E-05
FBgn0001291,954.5360847,-1.745217185,0.407374298,-4.284063073,1.84E-05,0.000253025,954.5360847,-1.833419653,0.455673137,-4.023541227,5.73E-05,0.001363772
FBgn0002413,1942.937262,-3.234321933,0.759063383,-4.260937897,2.04E-05,0.000274535,1942.937262,-3.090176052,0.848729451,-3.640943589,0.000271641,0.004234451
FBgn0003016,676.4362885,-2.899537188,0.425828015,-6.809174336,9.82E-12,1.71E-09,676.4362885,-2.566489893,0.476040698,-5.391324533,6.99E-08,6.94E-06
FBgn0003159,452.6761984,-3.018904511,0.661680292,-4.562482137,5.06E-06,8.64E-05,452.6761984,-2.733118719,0.739820795,-3.69429832,0.000220495,0.003667525
FBgn0003374,170176.8268,-4.304175433,1.252371879,-3.43681897,0.000588589,0.004048397,170176.8268,-4.817100412,1.400189582,-3.440320136,0.000581026,0.007257829
FBgn0003380,164.0980485,-2.413887472,0.794076436,-3.039867904,0.002366819,0.01235962,164.0980485,-2.481933046,0.88873005,-2.79267371,0.005227439,0.034331462
FBgn0003495,1664.937394,-2.008807122,0.677221673,-2.966247541,0.003014577,0.015042582,1664.937394,-2.400782966,0.757315592,-3.170122195,0.001523748,0.014573908
FBgn0003525,143.5715929,-2.925639268,0.834925524,-3.504072143,0.000458201,0.003321519,143.5715929,-3.396473341,0.941399261,-3.607898883,0.000308687,0.004665424
FBgn0003557,1493.61812,-2.027178068,0.446600224,-4.539133572,5.65E-06,9.43E-05,1493.61812,-1.682427866,0.499245487,-3.369941061,0.000751843,0.008689495
FBgn0003943,3941.596801,-1.549997442,0.413645679,-3.747162175,0.000178846,0.001588231,3941.596801,-1.592223211,0.462498014,-3.442659563,0.000576024,0.007233664
FBgn0004237,2735.90706,-1.734061111,0.336090402,-5.159507986,2.48E-07,7.10E-06,2735.90706,-1.40737478,0.375706486,-3.745942198,0.000179718,0.003115662
FBgn0004588,896.8050346,-5.618634741,1.333591986,-4.213158745,2.52E-05,0.000321374,896.8050346,-5.246775296,1.491088159,-3.518755927,0.000433575,0.005900504
FBgn0004589,786.2045672,-4.921457235,1.338457299,-3.676962453,0.000236028,0.001957126,786.2045672,-5.31922997,1.499292769,-3.547826069,0.000388425,0.005459363
FBgn0004590,944.9269021,-8.623262474,1.499493822,-5.750782262,8.88E-09,4.73E-07,944.9269021,-8.344000155,1.681424435,-4.962459198,6.96E-07,4.53E-05
FBgn0004591,527.07437,-8.650096351,1.675875146,-5.161539852,2.45E-07,7.06E-06,527.07437,-8.239772425,1.873835191,-4.39727702,1.10E-05,0.000381477
FBgn0004593,81.10756221,-39.33367336,5.449864563,-7.217367131,5.30E-13,1.32E-10,81.10756221,-21.52490199,6.120685653,-3.516746849,0.00043687,0.005928235
FBgn0004594,175.0928683,-11.43764946,3.410395445,-3.353760478,0.000797213,0.005192348,175.0928683,-23.10067616,3.857894618,-5.987897141,2.13E-09,4.27E-07
FBgn0004797,596.2970118,-3.024752043,0.656947416,-4.604252898,4.14E-06,7.27E-05,596.2970118,-3.289495111,0.735240797,-4.474037789,7.68E-06,0.000287257
FBgn0004832,110.5949314,-2.338970284,0.458752827,-5.09854141,3.42E-07,9.22E-06,110.5949314,-1.763608795,0.51094557,-3.451656887,0.000557156,0.007081585
FBgn0004865,2718.535719,-9.771932429,1.21956724,-8.012622929,1.12E-15,7.06E-13,2718.535719,-11.07225915,1.39161863,-7.956388992,1.77E-15,1.86E-12
FBgn0004910,1844.142012,-4.526841405,0.778806274,-5.812538443,6.15E-09,3.56E-07,1844.142012,-4.130677478,0.870723376,-4.743960701,2.10E-06,0.000107669
FBgn0004919,161.5077443,-2.285959205,0.626669125,-3.647792933,0.000264503,0.002143062,161.5077443,-2.882159453,0.70418053,-4.092926927,4.26E-05,0.001091643
FBgn0005612,2714.845617,-4.352427404,0.790773915,-5.504009833,3.71E-08,1.52E-06,2714.845617,-5.603401345,0.885355709,-6.32898313,2.47E-10,6.29E-08
FBgn0010246,1312.829134,-2.881242181,0.629237187,-4.578944543,4.67E-06,8.10E-05,1312.829134,-2.817272472,0.703670956,-4.003678776,6.24E-05,0.001448681
FBgn0010300,2200.958935,-4.49377178,0.713579359,-6.29750808,3.02E-10,2.85E-08,2200.958935,-4.557988176,0.798111916,-5.710963692,1.12E-08,1.75E-06
FBgn0010488,8084.829936,-2.030487558,0.428916556,-4.733992036,2.20E-06,4.34E-05,8084.829936,-1.660050705,0.479526519,-3.461853805,0.000536468,0.006930732
FBgn0010497,538.4846117,-3.726555606,0.749628714,-4.97120179,6.65E-07,1.60E-05,538.4846117,-3.456920158,0.838229627,-4.124072982,3.72E-05,0.000980589
FBgn0010591,1251.491167,-3.350740701,0.6483437,-5.168154948,2.36E-07,6.96E-06,1251.491167,-3.404121169,0.725128675,-4.694506347,2.67E-06,0.000126656
FBgn0010620,2300.402963,-2.278589932,0.36557094,-6.23296242,4.58E-10,3.89E-08,2300.402963,-1.831321127,0.408626706,-4.481648164,7.41E-06,0.000278304
FBgn0010812,1200.663948,-2.530088596,0.477031325,-5.303820657,1.13E-07,3.83E-06,1200.663948,-1.980469914,0.533149317,-3.71466276,0.000203475,0.003402432
FBgn0010905,1890.450733,-2.292184857,0.684085686,-3.350727702,0.000805995,0.005229374,1890.450733,-2.735314688,0.765091846,-3.575145523,0.000350033,0.005086537
FBgn0011204,2894.991835,-4.177545192,0.935279283,-4.466628599,7.95E-06,0.000126803,2894.991835,-3.278716802,1.045546146,-3.135889138,0.00171334,0.01584932
FBgn0011224,907.892644,-1.571419802,0.474481622,-3.311866526,0.000926758,0.005837769,907.892644,-1.936581667,0.531087863,-3.64644309,0.000265895,0.004193409
FBgn0011592,118.822077,-2.089758924,0.6309064,-3.312312134,0.000925282,0.005835904,118.822077,-2.190575397,0.708422022,-3.092189867,0.001986857,0.017627517
FBgn0011666,381.564014,-6.029428153,0.599067125,-10.06469542,7.91E-24,1.87E-20,381.564014,-5.902215857,0.672906022,-8.771233517,1.77E-18,2.91E-15
FBgn0011674,196.7109624,-2.089086438,0.681867651,-3.063771149,0.00218566,0.011612937,196.7109624,-2.300372147,0.763851211,-3.011544804,0.00259922,0.021041414
FBgn0011706,94.51294831,-4.10100331,0.835489196,-4.908505496,9.18E-07,2.10E-05,94.51294831,-5.598058436,0.985438044,-5.680781728,1.34E-08,2.04E-06
FBgn0011817,603.069268,-2.322912373,0.549638958,-4.226251323,2.38E-05,0.000308248,603.069268,-3.102267298,0.61604796,-5.035756139,4.76E-07,3.25E-05
FBgn0013679,2713.062372,-1.510004578,0.228881673,-6.59731537,4.19E-11,5.64E-09,2713.062372,-1.713512368,0.256016079,-6.692987313,2.19E-11,8.97E-09
FBgn0013717,199.1722388,-2.902328109,0.447078281,-6.491767173,8.48E-11,1.04E-08,199.1722388,-2.396388783,0.498846577,-4.803859327,1.56E-06,8.74E-05
FBgn0013765,144.1991518,-1.556281203,0.533789558,-2.915533248,0.003550813,0.016990215,144.1991518,-2.107170202,0.601259104,-3.50459592,0.000457301,0.006143595
FBgn0014010,2950.026647,-1.502790515,0.433491102,-3.466715944,0.000526858,0.003699777,2950.026647,-1.476153552,0.48467592,-3.045650692,0.002321774,0.019618564
FBgn0014011,430.9048586,-1.943166198,0.314874096,-6.171248206,6.78E-10,5.42E-08,430.9048586,-1.420313102,0.351197402,-4.044201623,5.25E-05,0.00129959
FBgn0014029,3159.829675,-1.548587995,0.461932347,-3.352412978,0.000801104,0.005203315,3159.829675,-1.821708534,0.51654411,-3.526724046,0.000420735,0.005767372
FBgn0014163,1003.901432,-4.956875509,0.960069166,-5.163040004,2.43E-07,7.06E-06,1003.901432,-5.056502193,1.075191838,-4.70288372,2.57E-06,0.00012333
FBgn0014368,1354.633448,-4.194381272,1.557447113,-2.693113132,0.007078824,0.028963294,1354.633448,-5.012521555,1.741630928,-2.878061864,0.004001267,0.028437035
FBgn0015229,258.5703013,-1.686477209,0.563585376,-2.992407685,0.002767864,0.014056932,258.5703013,-2.093779966,0.631633281,-3.314866438,0.000916869,0.010012473
FBgn0015239,1892.000632,-2.121399656,0.529135608,-4.009179542,6.09E-05,0.000652249,1892.000632,-2.144865119,0.591666061,-3.625127859,0.000288819,0.004450731
FBgn0015520,167.610902,-2.68966101,0.465576379,-5.777056421,7.60E-09,4.29E-07,167.610902,-2.924366512,0.523313637,-5.58817181,2.29E-08,2.96E-06
FBgn0015803,903.5983665,-1.576258585,0.360419632,-4.373398243,1.22E-05,0.000183506,903.5983665,-1.585844372,0.403073153,-3.934383522,8.34E-05,0.001787828
FBgn0015872,1348.654391,-2.708158297,0.477895235,-5.666845149,1.45E-08,7.26E-07,1348.654391,-4.13180288,0.536284725,-7.704494812,1.31E-14,1.13E-11
FBgn0016984,3375.545103,-2.883988961,0.667105595,-4.323137119,1.54E-05,0.000219476,3375.545103,-2.943452942,0.745912343,-3.946111052,7.94E-05,0.001722096
FBgn0019952,1504.255332,-5.306847197,0.900933786,-5.890385377,3.85E-09,2.40E-07,1504.255332,-5.165559141,1.007659942,-5.126292041,2.96E-07,2.21E-05
FBgn0019972,383.8003758,-1.681388813,0.346114663,-4.85789535,1.19E-06,2.58E-05,383.8003758,-1.673259067,0.387305246,-4.32025924,1.56E-05,0.000494877
