Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0000299,4980.727013,2.470865398,0.518976375,4.761036372,1.93E-06,0.000100912,4980.727013,2.876129435,0.464433966,6.192762897,5.91E-10,4.77E-08
FBgn0000406,575.2754954,2.725832056,0.663300214,4.10949974,3.97E-05,0.001024535,575.2754954,3.994350478,0.59557498,6.70671303,1.99E-11,3.13E-09
FBgn0000411,632.8473442,1.849614457,0.432764888,4.273947603,1.92E-05,0.000580497,632.8473442,2.022180234,0.388427462,5.206069166,1.93E-07,5.85E-06
FBgn0000447,1037.210641,1.637058277,0.354227969,4.621482268,3.81E-06,0.00016483,1037.210641,1.515147408,0.317763852,4.768155334,1.86E-06,3.78E-05
FBgn0000527,1059.125723,4.363558322,1.172389544,3.721935551,0.000197701,0.00334337,1059.125723,5.369081625,1.056322384,5.082805881,3.72E-07,9.77E-06
FBgn0002534,50.43059877,2.793715038,0.997790883,2.799900345,0.005111839,0.033713111,50.43059877,2.765887976,0.901901793,3.066728548,0.002164153,0.011521204
FBgn0002719,1849.601962,2.37847434,0.736069115,3.231319305,0.001232202,0.012563133,1849.601962,4.703304267,0.659289297,7.133900529,9.76E-13,2.19E-10
FBgn0003149,102.2854036,1.499749478,0.450693246,3.327650218,0.000875818,0.009671938,102.2854036,1.854511738,0.40805417,4.544768502,5.50E-06,9.25E-05
FBgn0003189,1858.623,2.304174908,0.801139544,2.8761218,0.004025943,0.028547873,1858.623,1.999018606,0.716920902,2.788339131,0.005297905,0.023260961
FBgn0004034,107.7686376,3.546968856,1.002253692,3.538993055,0.000401656,0.00557062,107.7686376,4.981294816,0.915022983,5.443901309,5.21E-08,2.05E-06
FBgn0004167,5161.250805,1.432636664,0.432020849,3.316128528,0.000912738,0.009994183,5161.250805,1.496864223,0.386544472,3.872424338,0.000107758,0.001046619
FBgn0004406,129.6706617,1.477141407,0.5446282,2.712201475,0.006683795,0.040730548,129.6706617,2.013799949,0.490738988,4.103607002,4.07E-05,0.000474208
FBgn0005278,3153.228257,1.896805192,0.533948038,3.552415325,0.000381712,0.005397188,3153.228257,1.954915303,0.477828543,4.09124849,4.29E-05,0.000492867
FBgn0005666,470.3285766,1.996279208,0.463880101,4.303437901,1.68E-05,0.000526908,470.3285766,1.745820708,0.416650744,4.190129827,2.79E-05,0.000349179
FBgn0010292,236.3493913,1.945557883,0.666594237,2.918653919,0.003515463,0.026208956,236.3493913,1.502838279,0.598814926,2.509687408,0.012083808,0.043814837
FBgn0010387,64.78551821,2.847113243,0.750355623,3.794351845,0.00014803,0.002717463,64.78551821,3.298973919,0.685045579,4.815699886,1.47E-06,3.08E-05
FBgn0011659,149.8561001,1.692002149,0.576568909,2.934605255,0.003339723,0.025421246,149.8561001,1.485573012,0.519177947,2.861394673,0.004217816,0.019406619
FBgn0011722,3630.683761,1.946945485,0.373618565,5.211051235,1.88E-07,1.57E-05,3630.683761,2.480288123,0.334494384,7.415036678,1.22E-13,3.70E-11
FBgn0013763,3205.638238,1.843533066,0.416964401,4.421320049,9.81E-06,0.000354475,3205.638238,2.388317741,0.373250434,6.398700507,1.57E-10,1.62E-08
FBgn0013949,364.988396,2.007129432,0.73881495,2.716687624,0.006593881,0.040343078,364.988396,2.461277225,0.662903503,3.712874067,0.000204919,0.0017601
FBgn0014031,271.3259377,2.019533437,0.525423662,3.843628646,0.000121228,0.002346455,271.3259377,2.833002647,0.473461738,5.983593641,2.18E-09,1.43E-07
FBgn0015033,85.26312535,2.367979517,0.542653234,4.363706635,1.28E-05,0.000421681,85.26312535,2.766263921,0.495593033,5.581724796,2.38E-08,1.07E-06
FBgn0015038,64.64514068,2.140032988,0.712758809,3.002464454,0.002678032,0.021494914,64.64514068,3.206743557,0.651085744,4.925224652,8.43E-07,1.95E-05
FBgn0015288,6594.870175,1.585948763,0.272605821,5.817736238,5.96E-09,1.03E-06,6594.870175,1.494631444,0.243982146,6.125986957,9.01E-10,6.75E-08
FBgn0015519,201.4041057,1.964151715,0.737298661,2.663983834,0.007722127,0.045010744,201.4041057,1.810255259,0.6624783,2.732550273,0.006284608,0.026495368
FBgn0015600,945.5051562,2.007455305,0.647715298,3.099286539,0.001939873,0.017341178,945.5051562,2.229966386,0.580009718,3.844705216,0.000120697,0.00114331
FBgn0015663,283.7396213,1.524334733,0.466658867,3.266486167,0.001088911,0.011448743,283.7396213,2.712330684,0.419483564,6.465880704,1.01E-10,1.16E-08
FBgn0015818,364.3985759,1.496581693,0.385741703,3.879750834,0.000104564,0.002120728,364.3985759,1.464398333,0.347133375,4.218546642,2.46E-05,0.000316359
FBgn0016075,2544.285808,2.511372871,0.59288959,4.235818801,2.28E-05,0.000675356,2544.285808,2.777806145,0.5307079,5.234152624,1.66E-07,5.28E-06
FBgn0017482,82.43285542,2.003404304,0.478271615,4.188842162,2.80E-05,0.000794077,82.43285542,2.449846089,0.43708638,5.60494721,2.08E-08,9.77E-07
FBgn0017561,67.36763094,4.15674487,1.054671417,3.94127005,8.11E-05,0.001749187,67.36763094,4.882695567,0.989630615,4.933856627,8.06E-07,1.88E-05
FBgn0019990,297.799631,1.848349463,0.607822343,3.040937017,0.002358432,0.019788584,297.799631,1.863954151,0.546082132,3.413321996,0.000641761,0.004351147
FBgn0022160,1557.127352,1.420891919,0.516296897,2.752083012,0.005921751,0.037324296,1557.127352,3.732739762,0.462244503,8.075249654,6.73E-16,4.89E-13
FBgn0022355,1417.588575,3.732699946,0.684517752,5.453036003,4.95E-08,5.31E-06,1417.588575,3.428912453,0.6143245,5.581598088,2.38E-08,1.07E-06
FBgn0023507,1211.319546,2.634663591,0.76059206,3.463964101,0.000532278,0.00689548,1211.319546,3.036973824,0.681254922,4.457911022,8.28E-06,0.000130742
FBgn0023535,65.02092719,3.234472838,0.658867802,4.909137806,9.15E-07,5.75E-05,65.02092719,3.578493302,0.614357624,5.824772348,5.72E-09,3.35E-07
FBgn0023542,417.4949508,1.499551164,0.546049744,2.74618051,0.006029358,0.037812284,417.4949508,1.491542539,0.489801629,3.045197177,0.002325278,0.012196717
FBgn0024293,547.3942982,2.685655154,0.557424066,4.81797489,1.45E-06,8.19E-05,547.3942982,3.720232294,0.502121019,7.409035178,1.27E-13,3.75E-11
