Gene Name ,Gene Symbol,RasYki_D8_v_PtcG4_D6_baseMeanCount,RasYki_D8_v_PtcG4_D6 log2FoldChange,P value (adj),Fer12OG_D8_v_PtcG4_D6_baseMeanCount,Fer12OG_D8_v_PtcG4_D6_log2FoldChange,P value (adj)
CG32762,FBgn0052762,2088.775763,-34.33247383,5.83E-05,2088.775763,-37.33640959,2.72E-07
Drsl5,FBgn0035434,75.62353726,-30.40948243,0.000460048,75.62353726,-32.76431882,1.18E-05
CG13026,FBgn0036656,52.40562821,-23.68344546,0.008003222,52.40562821,-24.86495751,0.001463805
CG34206,FBgn0085235,77.07479694,-10.18941098,0.004313234,77.07479694,-9.733435993,0.001695518
CG4151,FBgn0029770,2259.508729,-9.517967507,0.003043849,2259.508729,-9.623517122,0.000656814
Hr4,FBgn0264562,1382.807716,-9.279196762,4.51E-08,1382.807716,-8.874032845,1.50E-09
Eig71Ec,FBgn0004590,944.9269021,-9.127257733,0.000154494,944.9269021,-7.915248126,0.000140221
Eip78C,FBgn0004865,2718.535719,-8.738970252,2.30E-06,2718.535719,-10.19062025,8.51E-11
lncRNA:CR44825,FBgn0266072,59.50825043,-8.512016613,5.70E-05,59.50825043,-6.206565566,0.000108489
CG9427,FBgn0037721,709.7416752,-8.403033696,6.53E-08,709.7416752,-7.73267983,6.76E-09
Spn43Aa,FBgn0024294,53.63812853,-8.037629724,0.001575141,53.63812853,-7.537365374,0.000529898
CG42717,FBgn0261634,430.525731,-8.016481135,0.031413441,430.525731,-9.091841239,0.007801716
CG30197,FBgn0050197,260.6425309,-7.785563455,2.79E-06,260.6425309,-4.848311243,0.001307339
CG13924,FBgn0035286,87.18922385,-7.573123419,3.57E-07,87.18922385,-7.083548725,3.00E-08
santa-maria,FBgn0025697,128.7174354,-7.554505469,0.008503446,128.7174354,-5.178785205,0.043750707
CG45081,FBgn0266456,997.8513487,-7.536497786,0.00387554,997.8513487,-8.223430837,0.000333337
CG13618,FBgn0039203,87.62636399,-7.26243388,0.00024672,87.62636399,-6.121559164,0.00023101
Eig71Ed,FBgn0004591,527.07437,-7.218884208,0.006584395,527.07437,-6.945614081,0.003452141
CG2003,FBgn0039886,187.7404868,-6.881885171,1.11E-07,187.7404868,-4.5040199,0.000100665
CG44006,FBgn0264748,71.8069046,-6.880991002,0.001719119,71.8069046,-5.725492588,0.00242291
a,FBgn0000008,982.2903794,-6.432076853,2.79E-06,982.2903794,-7.05406021,1.65E-09
Buffy,FBgn0040491,182.4555517,-5.984585123,3.32E-05,182.4555517,-5.586781219,1.02E-05
