Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0000061,382.1899728,-4.680820047,0.479980191,-9.752110898,1.81E-22,1.63E-20,382.1899728,-3.383477333,0.470491448,-7.191368402,6.41E-13,1.85E-11
FBgn0000116,2672.952598,-4.624276625,0.50643294,-9.131073954,6.78E-20,5.22E-18,2672.952598,-2.878565674,0.50491736,-5.701062991,1.19E-08,1.89E-07
FBgn0000157,967.2883514,-2.202934015,0.284543393,-7.741996716,9.79E-15,3.76E-13,967.2883514,-2.545936191,0.284793912,-8.939573783,3.91E-19,2.38E-17
FBgn0000504,575.1198075,-1.413675859,0.251047964,-5.63109869,1.79E-08,3.09E-07,575.1198075,-1.436490557,0.250634036,-5.731426503,9.96E-09,1.60E-07
FBgn0000577,811.1588198,-2.21738751,0.23579804,-9.403757172,5.26E-21,4.43E-19,811.1588198,-1.430759082,0.233879515,-6.117504904,9.51E-10,1.82E-08
FBgn0000591,175.5363536,-1.533700377,0.331659602,-4.624320746,3.76E-06,4.12E-05,175.5363536,-1.823625452,0.332198569,-5.489564444,4.03E-08,5.83E-07
FBgn0001112,142.0013369,-1.709810235,0.346637366,-4.932561808,8.12E-07,1.02E-05,142.0013369,-2.499410692,0.350631514,-7.128311611,1.02E-12,2.85E-11
FBgn0001224,9693.64419,-3.388182889,0.557997344,-6.07204125,1.26E-09,2.62E-08,9693.64419,-2.300782956,0.557843914,-4.124420644,3.72E-05,0.000310475
FBgn0001226,8953.055722,-3.180633568,0.577667507,-5.50599355,3.67E-08,5.99E-07,8953.055722,-2.350889011,0.577557575,-4.070397675,4.69E-05,0.000382714
FBgn0001227,107.318196,-5.233875897,0.873577655,-5.991311555,2.08E-09,4.16E-08,107.318196,-2.655055645,0.835179073,-3.179025591,0.00147771,0.007957026
FBgn0001253,2856.157866,-3.390735683,0.763871724,-4.438881001,9.04E-06,9.03E-05,2856.157866,-2.668267552,0.763621565,-3.494227603,0.000475436,0.0029976
FBgn0001255,389.5806034,-6.968102516,0.977509968,-7.128420934,1.02E-12,3.17E-11,389.5806034,-2.73536754,0.946923465,-2.888689152,0.003868513,0.017765443
FBgn0002592,292.5334763,-2.8864102,0.246753916,-11.69752542,1.31E-31,2.77E-29,292.5334763,-2.15424851,0.240130374,-8.971162098,2.93E-19,1.82E-17
FBgn0002629,202.6158513,-2.699498782,0.432807079,-6.237187215,4.46E-10,1.01E-08,202.6158513,-1.85319819,0.427285365,-4.337144073,1.44E-05,0.000131542
FBgn0002633,166.4725839,-1.731274997,0.335541994,-5.159637333,2.47E-07,3.50E-06,166.4725839,-2.836738195,0.343834551,-8.250299993,1.58E-16,7.36E-15
FBgn0002732,627.2070313,-2.146178812,0.346951879,-6.185811181,6.18E-10,1.37E-08,627.2070313,-2.615727788,0.347597055,-7.525172472,5.27E-14,1.73E-12
FBgn0002733,1164.499342,-1.431394946,0.323463447,-4.425213914,9.63E-06,9.59E-05,1164.499342,-1.527485162,0.323284519,-4.724894236,2.30E-06,2.50E-05
FBgn0002734,129.9920498,-2.281721469,0.351453261,-6.492247253,8.46E-11,2.11E-09,129.9920498,-2.829719566,0.355513921,-7.959518306,1.73E-15,7.14E-14
FBgn0003053,95.8614013,-2.587885289,0.563676282,-4.59108423,4.41E-06,4.77E-05,95.8614013,-1.682486098,0.552585652,-3.04475169,0.002328725,0.011645451
FBgn0003089,105.840749,-5.541469379,0.646927807,-8.565823442,1.07E-17,6.23E-16,105.840749,-3.082101615,0.588407966,-5.238035162,1.62E-07,2.14E-06
FBgn0003319,387.082767,-3.685759796,0.467590174,-7.882457762,3.21E-15,1.32E-13,387.082767,-3.118646352,0.464082338,-6.720028097,1.82E-11,4.33E-10
FBgn0003513,353.1513461,-3.01366204,0.385750376,-7.812466884,5.61E-15,2.24E-13,353.1513461,-2.11354597,0.380605741,-5.55311112,2.81E-08,4.16E-07
FBgn0003651,209.7293971,-2.303492751,0.361077151,-6.379502945,1.78E-10,4.29E-09,209.7293971,-2.190572523,0.359092661,-6.100298786,1.06E-09,2.01E-08
