Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0001078,970.8667709,2.48281564,0.417995875,5.939808955,2.85E-09,5.62E-08,970.8667709,2.62920741,0.417833933,6.292469814,3.12E-10,6.33E-09
FBgn0001257,4807.986739,5.419400128,0.673449482,8.04722592,8.47E-16,3.89E-14,4807.986739,2.946877127,0.67364957,4.37449567,1.22E-05,0.00011363
FBgn0001258,14789.51039,6.317471393,0.765667212,8.2509363,1.57E-16,8.08E-15,14789.51039,2.028066226,0.766212893,2.646870401,0.008124048,0.032561815
FBgn0002719,2309.174808,3.139237004,0.296339613,10.59337621,3.20E-26,3.92E-24,2309.174808,1.460564921,0.29713744,4.915452333,8.86E-07,1.03E-05
FBgn0002930,60.51305535,1.927199596,0.450755736,4.275485464,1.91E-05,0.000176067,60.51305535,3.194209577,0.443445789,7.203156867,5.88E-13,1.70E-11
FBgn0003475,684.3713551,2.037070353,0.425414622,4.788435201,1.68E-06,1.99E-05,684.3713551,2.888904887,0.424751746,6.801396149,1.04E-11,2.57E-10
FBgn0004652,8644.971822,1.87650657,0.368240114,5.095877664,3.47E-07,4.75E-06,8644.971822,2.716770355,0.368185556,7.378807545,1.60E-13,4.94E-12
FBgn0004956,1002.758054,2.94137344,0.225320457,13.05417836,6.02E-39,1.93E-36,1002.758054,3.052537676,0.225042821,13.56425262,6.52E-42,2.09E-39
FBgn0005660,1277.582242,6.924591531,0.579284509,11.95369706,6.21E-33,1.40E-30,1277.582242,6.739453163,0.579279891,11.63419146,2.76E-31,4.73E-29
FBgn0010038,320.9944389,6.393776143,1.059573223,6.034293811,1.60E-09,3.25E-08,320.9944389,5.342507726,1.060713887,5.036709514,4.74E-07,5.81E-06
FBgn0010039,4003.417393,2.778814611,0.314262356,8.842340028,9.37E-19,6.24E-17,4003.417393,3.137736847,0.31416173,9.987648219,1.73E-23,1.53E-21
FBgn0010397,2830.039838,2.528300511,0.17087013,14.79662076,1.54E-49,9.55E-47,2830.039838,3.670538028,0.170433867,21.53643582,7.10E-103,3.52E-99
FBgn0011274,416.3152191,1.81318775,0.35504679,5.106898029,3.27E-07,4.50E-06,416.3152191,3.43833658,0.352073637,9.765958642,1.58E-22,1.31E-20
FBgn0011288,146.3633241,3.57656111,0.637639835,5.609061591,2.03E-08,3.47E-07,146.3633241,2.104600083,0.645620489,3.259809934,0.001114869,0.006247295
FBgn0011674,716.7378784,1.999581856,0.498171138,4.013845251,5.97E-05,0.00048198,716.7378784,3.332818206,0.497130451,6.704111971,2.03E-11,4.79E-10
FBgn0011676,58.05164761,4.654293335,0.571374336,8.145786477,3.77E-16,1.80E-14,58.05164761,3.922246774,0.574117029,6.831789643,8.39E-12,2.11E-10
FBgn0011722,2139.007763,3.934008292,0.639855179,6.148279207,7.83E-10,1.69E-08,2139.007763,4.027185747,0.639812753,6.294319284,3.09E-10,6.27E-09
FBgn0012034,1174.285613,4.557696542,0.23832179,19.12412851,1.59E-81,2.63E-78,1174.285613,5.134499493,0.237944875,21.5785253,2.86E-103,2.84E-99
FBgn0012036,1910.755839,2.485291431,0.281458256,8.830053395,1.05E-18,6.92E-17,1910.755839,3.995896692,0.280884715,14.22610942,6.31E-46,2.85E-43
FBgn0013278,16220.26016,4.716316896,0.352753549,13.37000553,9.05E-41,3.21E-38,16220.26016,2.659419575,0.35288389,7.53624535,4.84E-14,1.60E-12
FBgn0013688,80.21801277,1.477357971,0.38161776,3.871302983,0.000108255,0.000821977,80.21801277,2.094138272,0.37580095,5.572466677,2.51E-08,3.75E-07
FBgn0013763,1033.404299,3.36935277,0.387426368,8.696756466,3.42E-18,2.07E-16,1033.404299,2.956805652,0.387509982,7.630269646,2.34E-14,8.19E-13
FBgn0013771,72.72647568,5.192609642,1.187313098,4.373412244,1.22E-05,0.000118083,72.72647568,7.197172217,1.18095362,6.094373303,1.10E-09,2.08E-08
FBgn0014141,18545.20699,1.592690901,0.253263769,6.288664619,3.20E-10,7.41E-09,18545.20699,2.89720542,0.253211319,11.44184798,2.58E-30,4.20E-28
FBgn0015714,1655.298141,3.03612811,0.619470463,4.90116687,9.53E-07,1.19E-05,1655.298141,1.930849441,0.620002686,3.114259799,0.00184407,0.009586461
FBgn0015903,1956.419041,1.566538477,0.256504603,6.107252889,1.01E-09,2.15E-08,1956.419041,3.45962167,0.255581569,13.53627213,9.55E-42,2.87E-39
FBgn0016694,904.4217888,1.574692053,0.276406893,5.697007171,1.22E-08,2.17E-07,904.4217888,2.042566422,0.275995678,7.400718874,1.35E-13,4.21E-12
FBgn0022160,473.5814504,3.415888875,0.287156285,11.89557412,1.25E-32,2.75E-30,473.5814504,3.197657898,0.287178973,11.13472154,8.50E-29,1.21E-26
FBgn0023507,417.4081853,1.410317872,0.230395106,6.121301353,9.28E-10,1.99E-08,417.4081853,2.452704103,0.227948197,10.75991887,5.32E-27,6.69E-25
FBgn0025390,229.9452664,3.174125071,0.616849128,5.145707317,2.67E-07,3.74E-06,229.9452664,1.779155106,0.620341835,2.868023734,0.004130445,0.018734251
FBgn0025631,1141.287034,3.07711319,0.398672484,7.718398721,1.18E-14,4.48E-13,1141.287034,3.51474211,0.398416498,8.821778544,1.13E-18,6.50E-17
FBgn0025643,52.32662567,2.462160403,0.679560227,3.623167313,0.000291017,0.001952709,52.32662567,3.221914952,0.672621242,4.790088018,1.67E-06,1.86E-05
FBgn0026315,109.9839231,2.549612373,0.372345761,6.847432247,7.52E-12,2.14E-10,109.9839231,2.853494874,0.370292632,7.7060536,1.30E-14,4.68E-13
FBgn0026403,924.4655268,6.536916033,0.34108025,19.16533145,7.21E-82,1.43E-78,924.4655268,3.376890698,0.346291976,9.751570745,1.82E-22,1.50E-20
FBgn0027657,163.9386821,1.696677486,0.352784243,4.809391352,1.51E-06,1.82E-05,163.9386821,1.880119343,0.351872476,5.343183878,9.13E-08,1.26E-06
FBgn0028408,89.26284993,2.099373055,0.429654527,4.88618861,1.03E-06,1.28E-05,89.26284993,2.000270289,0.42919635,4.660501626,3.15E-06,3.33E-05
FBgn0028482,124.6214746,4.104469866,0.765599774,5.361116873,8.27E-08,1.27E-06,124.6214746,5.747534517,0.761570052,7.546954485,4.46E-14,1.48E-12
FBgn0028527,2319.625226,2.167454942,0.185284216,11.69800099,1.30E-31,2.77E-29,2319.625226,2.552332808,0.185005091,13.79601392,2.69E-43,9.90E-41
