Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0000061,382.1899728,-6.433872042,0.585231761,-10.99371645,4.10E-28,6.35E-26,382.1899728,-2.538264882,0.468680404,-5.415769164,6.10E-08,8.13E-07
FBgn0000116,2672.952598,-6.620805178,0.575016423,-11.51411492,1.12E-30,2.27E-28,2672.952598,-2.121483998,0.504754253,-4.203003714,2.63E-05,0.000203262
FBgn0000157,967.2883514,-2.724493389,0.320086462,-8.511742032,1.71E-17,8.25E-16,967.2883514,-1.972294735,0.284232355,-6.939022595,3.95E-12,9.97E-11
FBgn0000179,1321.008047,-5.215918459,0.369890882,-14.10123557,3.73E-45,1.85E-42,1321.008047,-1.694306205,0.31633596,-5.356034153,8.51E-08,1.11E-06
FBgn0000577,811.1588198,-2.317829461,0.264804395,-8.752987134,2.08E-18,1.11E-16,811.1588198,-1.422238394,0.234215403,-6.072352102,1.26E-09,2.19E-08
FBgn0001112,142.0013369,-2.278792932,0.394526933,-5.776013602,7.65E-09,1.03E-07,142.0013369,-2.542421206,0.353444788,-7.193262695,6.33E-13,1.77E-11
FBgn0001224,9693.64419,-5.512455586,0.625114252,-8.818316919,1.16E-18,6.51E-17,9693.64419,-1.691270885,0.557819597,-3.03193164,0.002429942,0.01025723
FBgn0001226,8953.055722,-5.027954838,0.646666252,-7.775192883,7.53E-15,2.56E-13,8953.055722,-2.353272542,0.577576402,-4.074391778,4.61E-05,0.000333461
FBgn0001227,107.318196,-7.886905048,1.263239646,-6.243395761,4.28E-10,7.53E-09,107.318196,-3.950860267,0.847855035,-4.659829929,3.16E-06,3.03E-05
FBgn0001253,2856.157866,-3.631552034,0.85428825,-4.250968022,2.13E-05,0.000126713,2856.157866,-5.212054158,0.765252877,-6.810891291,9.70E-12,2.29E-10
FBgn0001254,11793.22877,-15.74286753,2.202400684,-7.148048785,8.80E-13,2.23E-11,11793.22877,-11.3815884,1.730905997,-6.575509251,4.85E-11,1.01E-09
FBgn0001255,389.5806034,-7.127386383,1.105941258,-6.444633774,1.16E-10,2.22E-09,389.5806034,-5.530959907,0.957730407,-5.775069757,7.69E-09,1.19E-07
FBgn0002592,292.5334763,-2.701532917,0.276752912,-9.761533843,1.65E-22,1.56E-20,292.5334763,-1.603812441,0.238773208,-6.716886097,1.86E-11,4.18E-10
FBgn0002629,202.6158513,-2.171352796,0.481765763,-4.507071613,6.57E-06,4.51E-05,202.6158513,-2.364563016,0.430831308,-5.488373221,4.06E-08,5.55E-07
FBgn0002732,627.2070313,-1.664547493,0.387307849,-4.297737564,1.73E-05,0.000105119,627.2070313,-1.620059951,0.346030085,-4.681847103,2.84E-06,2.76E-05
FBgn0003089,105.840749,-6.041069252,0.776490276,-7.779967678,7.25E-15,2.48E-13,105.840749,-5.379559814,0.642208196,-8.376660171,5.45E-17,2.62E-15
FBgn0003090,1112.508012,-1.708355899,0.229225608,-7.452727078,9.14E-14,2.65E-12,1112.508012,-1.945516368,0.205132203,-9.484207434,2.44E-21,1.97E-19
FBgn0003130,103.7403749,-3.137207864,0.520047804,-6.03253747,1.61E-09,2.51E-08,103.7403749,-1.630473162,0.439548458,-3.709427559,0.000207728,0.001247124
FBgn0003319,387.082767,-3.548894655,0.52374206,-6.776035233,1.24E-11,2.72E-10,387.082767,-2.304291048,0.46243112,-4.982993026,6.26E-07,6.95E-06
FBgn0003435,173.5303442,-6.632291961,1.546513868,-4.288543476,1.80E-05,0.00010903,173.5303442,-4.349090604,1.338576742,-3.249040916,0.001157948,0.005435893
FBgn0004003,300.3657862,-4.284742932,0.638137198,-6.714454112,1.89E-11,4.05E-10,300.3657862,-4.726818598,0.572812599,-8.251945933,1.56E-16,7.29E-15
FBgn0004101,997.8833847,-2.497252845,0.274267417,-9.105175063,8.61E-20,5.59E-18,997.8833847,-1.970054446,0.243396394,-8.094016558,5.77E-16,2.50E-14
FBgn0004108,789.2683499,-2.733469644,0.375110652,-7.287102159,3.17E-13,8.45E-12,789.2683499,-1.416268631,0.332620336,-4.257913534,2.06E-05,0.000163952
FBgn0004644,542.5376482,-2.840855387,0.257755556,-11.0215098,3.01E-28,4.82E-26,542.5376482,-1.409557271,0.223250819,-6.313783205,2.72E-10,5.13E-09
FBgn0004865,302.2454246,-6.799175944,0.9745121,-6.977005154,3.02E-12,7.11E-11,302.2454246,-6.482904881,0.857263394,-7.56232557,3.96E-14,1.34E-12
FBgn0010470,1083.99021,-1.62382248,0.352112085,-4.611663581,3.99E-06,2.91E-05,1083.99021,-1.877328004,0.315028994,-5.959222922,2.53E-09,4.12E-08
FBgn0010497,140.7162401,-2.87801175,0.264611635,-10.87636132,1.49E-27,2.06E-25,140.7162401,-1.704951908,0.210346407,-8.105448215,5.26E-16,2.29E-14
FBgn0011746,329.5029323,-5.974943184,0.587687366,-10.16687362,2.79E-24,3.04E-22,329.5029323,-2.786778997,0.491413135,-5.670949345,1.42E-08,2.10E-07
FBgn0011758,50.12215154,-3.61844953,0.632136052,-5.72416257,1.04E-08,1.36E-07,50.12215154,-2.28720752,0.50995865,-4.485084268,7.29E-06,6.45E-05
FBgn0011817,1822.069938,-2.681519318,0.321695064,-8.335593601,7.71E-17,3.45E-15,1822.069938,-1.601740698,0.286342412,-5.593794818,2.22E-08,3.18E-07
FBgn0012037,2536.272146,-3.684525426,0.44293986,-8.31834241,8.92E-17,3.93E-15,2536.272146,-1.597869965,0.394652279,-4.048804608,5.15E-05,0.000364658
