Row.names,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
FBgn0000244,1219.248417,1.545264579,0.165314715,9.347410983,8.98E-21,6.96E-19,1219.248417,1.40288899,0.184441605,7.606141735,2.82E-14,8.79E-13
FBgn0001078,970.8667709,2.415575521,0.418050747,5.77818731,7.55E-09,1.17E-07,970.8667709,2.251856359,0.466736012,4.824689548,1.40E-06,1.13E-05
FBgn0001149,24462.15381,2.0136391,0.310160798,6.492242442,8.46E-11,1.72E-09,24462.15381,2.044167715,0.346740615,5.89538008,3.74E-09,5.45E-08
FBgn0001257,4807.986739,3.950949204,0.673545135,5.865901182,4.47E-09,7.05E-08,4807.986739,6.299859257,0.752409942,8.372908049,5.62E-17,2.54E-15
FBgn0001258,14789.51039,4.666863072,0.765742527,6.094559083,1.10E-09,1.92E-08,14789.51039,6.552990601,0.855424183,7.660515953,1.85E-14,6.01E-13
FBgn0002719,2309.174808,2.567772884,0.296572144,8.65817283,4.79E-18,2.61E-16,2309.174808,3.031836904,0.330579912,9.171267809,4.67E-20,3.07E-18
FBgn0003475,684.3713551,2.41105809,0.425144978,5.671143292,1.42E-08,2.10E-07,684.3713551,1.980658999,0.47482304,4.17136245,3.03E-05,0.000172493
FBgn0004034,606.1885315,4.932899609,2.03911427,2.419138388,0.01555732,0.04784346,606.1885315,9.891063625,2.184863931,4.527084494,5.98E-06,4.17E-05
FBgn0004652,8644.971822,2.247265818,0.368217919,6.103086519,1.04E-09,1.83E-08,8644.971822,1.577562646,0.411676439,3.832045016,0.000127082,0.000605748
FBgn0004956,1002.758054,2.264505065,0.226230889,10.00970765,1.38E-23,1.44E-21,1002.758054,2.835372084,0.249916937,11.34525782,7.83E-30,1.47E-27
FBgn0005660,1277.582242,6.124942093,0.579685335,10.5659773,4.28E-26,5.32E-24,1277.582242,6.704737456,0.633595355,10.58204957,3.61E-26,4.39E-24
FBgn0010038,320.9944389,3.857361241,1.066554004,3.616658159,0.000298431,0.001697209,320.9944389,6.981382215,1.15694861,6.034306236,1.60E-09,2.49E-08
FBgn0010039,4003.417393,2.823678478,0.314259725,8.985174536,2.58E-19,1.68E-17,4003.417393,3.665881274,0.350745268,10.45169132,1.44E-25,1.64E-23
FBgn0010041,97.76552553,5.955455861,1.223577201,4.86724978,1.13E-06,1.19E-05,97.76552553,4.441190274,1.312941569,3.382625989,0.000717963,0.002708122
FBgn0010383,481.8459313,2.326528909,0.796414495,2.921253849,0.003486256,0.013889044,481.8459313,3.725483736,0.888283998,4.194023245,2.74E-05,0.000157662
FBgn0010397,2830.039838,2.91274821,0.170714571,17.0620949,2.84E-65,2.56E-62,2830.039838,2.687155001,0.190169248,14.13033405,2.47E-45,1.29E-42
FBgn0011274,416.3152191,3.385828381,0.352330728,9.609801561,7.27E-22,6.27E-20,416.3152191,1.949323022,0.394177662,4.945290436,7.60E-07,6.56E-06
FBgn0011288,146.3633241,3.598345076,0.637695768,5.642730059,1.67E-08,2.45E-07,146.3633241,4.412606234,0.694964497,6.349398065,2.16E-10,3.99E-09
FBgn0011674,716.7378784,3.315741759,0.497233813,6.668375468,2.59E-11,5.64E-10,716.7378784,2.209514263,0.55562901,3.976599892,6.99E-05,0.000358349
FBgn0011676,58.05164761,3.449151906,0.580151049,5.945265311,2.76E-09,4.47E-08,58.05164761,4.271951633,0.60539771,7.056438369,1.71E-12,4.11E-11
